p,ct,sa,sigma1,alpha_smooth,beta_smooth,turner_ang,density_ratio,mixed_layer_final_mask,mixed_layer_temp_mask,mixed_layer_sal_mask,mixed_layer_sigma_mask,mixed_layer_mask,gradient_layer_final_mask,mixed_layer_step1_mask,grad_layer_step2_mask,grad_layer_step3_mask,grad_layer_step4_mask,mixed_layer_salt_finger_mask,gradient_layer_salt_finger_mask,mixed_layer_diffusive_convective_mask,gradient_layer_diffusive_convective_mask
1834.0,13.003822,38.74001,33.501516027642765,0.00023539441349169804,0.0007268088767901343,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
1835.0,13.003822,38.74001,33.501516027642765,0.00023541112439349088,0.0007267992578353465,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
1836.0,13.003822,38.74001,33.501516027642765,0.00023542783458020404,0.0007267896393007692,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
1837.0,13.003822,38.74001,33.501516027642765,0.0002354445440517789,0.0007267800211864004,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
1838.0,13.003822,38.74001,33.501516027642765,0.00023546125280815672,0.0007267704034922378,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
1839.0,13.003822,38.74001,33.501516027642765,0.00023547796084927874,0.0007267607862182796,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
1840.0,13.003822,38.74001,33.501516027642765,0.00023549466817508635,0.0007267511693645235,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
1841.0,13.003822,38.74001,33.501516027642765,0.00023551137478552083,0.000726741552930967,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
1842.0,13.003822,38.74001,33.501516027642765,0.00023552808068052358,0.0007267319369176085,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
1843.0,13.003822,38.74001,33.501516027642765,0.00023554478586003592,0.0007267223213244454,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
1844.0,13.003822,38.74001,33.501516027642765,0.00023556149032399925,0.0007267127061514757,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
1845.0,13.003822,38.74001,33.501516027642765,0.000235578194072355,0.0007267030913986974,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
1846.0,13.003822,38.74001,33.501516027642765,0.00023559489710504462,0.0007266934770661083,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
1847.0,13.003822,38.74001,33.501516027642765,0.00023561159942200952,0.0007266838631537063,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
1848.0,13.003822,38.74001,33.501516027642765,0.00023562830102319117,0.0007266742496614893,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
